problem,num_obj,phase,iRVEA_R_IGD,iNSGAIII_R_IGD,iRVEA_R_HV,iNSGAIII_R_HV
DTLZ4,6,decision,0.2665808216726351,0.22116347176560763,,
DTLZ4,7,learning,4.519916884564095,0.2507772557310265,,
DTLZ4,7,decision,1.7694257088675087,0.23285058553715726,,
DTLZ4,8,learning,1.3035556454446227,1.2923263692874942,,
DTLZ4,8,decision,1.2891185326678198,1.1631286918474797,,
DTLZ4,9,learning,1.0919174019590083,1.0001897431961946,,
DTLZ4,9,decision,1.2403771477001193,1.143106583127836,,
DTLZ1,3,learning,2.4148703937629703,2.431294602032838,34.71978290285645,34.01773639327021
DTLZ1,3,decision,2.0809742294204017,2.0579899820295653,26.103325938051867,26.576277360519587
DTLZ1,4,learning,2.5188940088261877,2.560393771335681,,
DTLZ1,4,decision,1.9378748180122083,1.9275411102001392,,
DTLZ1,5,learning,3.085875854859902,2.425844654638862,,
DTLZ1,5,decision,1.8790342098530648,1.7319655554645934,,
DTLZ1,6,learning,2.383307001807756,2.2792717386830255,,
DTLZ1,6,decision,2.4783433718129517,2.4493077862460817,,
DTLZ1,7,learning,2.529832257917512,2.4834258386068973,,
DTLZ1,7,decision,2.2939232265030083,2.884624423035693,,
DTLZ1,8,learning,2.783391067964753,3.6829054457211647,,
DTLZ1,8,decision,2.539497578364134,2.9390173627476517,,
DTLZ1,9,learning,2.7879832185389044,2.814481873468274,,
DTLZ1,9,decision,2.2787641077076612,2.280710155391149,,
DTLZ2,3,learning,0.044089040714712466,0.5444310086601365,33.99914029117436,31.226819706834576
DTLZ2,3,decision,0.017843829919810043,0.026550447835108418,25.862725008204965,25.892802281308903
DTLZ2,4,learning,0.11064695986812861,0.10168716130449146,,
DTLZ2,4,decision,0.25754508229658324,0.26930305356355294,,
DTLZ2,5,learning,1.590285962934373,0.3572587939047752,,
DTLZ2,5,decision,2.268091954574752,1.0009331610891885,,
DTLZ2,6,learning,0.6736652401636003,0.7435068935802615,,
DTLZ2,6,decision,0.2712196179387244,0.22139949154411864,,
DTLZ2,7,learning,1.5075062002813713,0.3237453502384234,,
DTLZ2,7,decision,4.847711889335158,1.3389454194212567,,
DTLZ2,8,learning,0.85045833831065,0.314761959070006,,
DTLZ2,8,decision,0.4391088476895352,0.4654028792216648,,
DTLZ2,9,learning,0.730805283617511,0.61014372789788,,
DTLZ2,9,decision,0.5521664670593822,0.3244751558652955,,
DTLZ3,3,learning,1.593572078905531,0.080603741473613,27.20062613092356,34.47844015896215
DTLZ3,3,decision,0.10341189977417822,0.07988621773961785,25.75423344144277,25.971276426410657
DTLZ3,4,learning,0.25571549461545856,0.3244689579232856,,
DTLZ3,4,decision,0.25604415512661827,0.2769443361323627,,
DTLZ3,5,learning,0.22446074111122316,0.42388141634983095,,
DTLZ3,5,decision,0.13447103256149864,0.05879868651772112,,
DTLZ3,6,learning,0.5532206712211547,0.34325329262303433,,
DTLZ3,6,decision,0.25780047584230925,0.5162801573442196,,
DTLZ3,7,learning,0.7160137876761657,0.6425665387185526,,
DTLZ3,7,decision,0.42658377146112714,0.5421777861709296,,
DTLZ3,8,learning,0.4495793468702519,0.895639587821389,,
DTLZ3,8,decision,0.4042010662678328,0.9527304002921848,,
DTLZ3,9,learning,0.512460212679579,0.6961051731236021,,
DTLZ3,9,decision,0.446934118440241,0.3291434012114256,,
DTLZ4,3,learning,0.061543654844811516,0.03222921443862546,32.79035523415612,32.915726874976066
DTLZ4,3,decision,0.017793457544986922,0.02920065323842592,25.860763277140826,25.887202252263656
DTLZ4,4,learning,0.17703747263916866,0.07404473381984346,,
DTLZ4,4,decision,0.10910768598324033,0.11698841832311631,,
DTLZ4,5,learning,0.490988224073124,0.4472204838398471,,
DTLZ4,5,decision,0.9453173376209145,0.9874725641812976,,
DTLZ4,6,learning,0.9412327474422518,0.9059588632757444,,
DTLZ4,6,decision,0.27277667975169734,0.23177598697218227,,
DTLZ4,7,learning,3.2831131086142125,0.5476074424958499,,
DTLZ4,7,decision,1.2803065262600706,1.0863699402058362,,
DTLZ4,8,learning,0.44922345348695225,0.32833820112975326,,
DTLZ4,8,decision,0.5174150200536202,0.29595107371515983,,
DTLZ4,9,learning,0.6614950721174686,0.5734527109282579,,
DTLZ4,9,decision,1.1175347796835244,1.115911776191301,,
DTLZ1,3,learning,2.4902523018997376,2.463729171916927,34.66922028960403,35.21626553398642
DTLZ1,3,decision,2.0788840047170645,2.0640566673382605,26.19052620513617,26.455507054564162
DTLZ1,4,learning,2.457700829728702,2.4373794971032403,,
DTLZ1,4,decision,2.3449512066046365,2.323785219614634,,
DTLZ1,5,learning,2.4547031550235068,2.567575173495841,,
DTLZ1,5,decision,2.3237675881885846,2.399265295555418,,
DTLZ1,6,learning,2.5142327230535737,2.4837105075728036,,
DTLZ1,6,decision,2.2214168863824657,2.2586967798475848,,
DTLZ1,7,learning,2.6312653333426654,2.727413856117677,,
DTLZ1,7,decision,2.053409221641936,1.983428080841495,,
DTLZ1,8,learning,2.65426077578823,2.831317150360923,,
DTLZ1,8,decision,1.9675174070457906,2.4483021432277825,,
DTLZ1,9,learning,2.4555987479557055,2.541020952519883,,
DTLZ1,9,decision,2.024180771854579,2.3333625617780798,,
DTLZ2,3,learning,0.05922734338583023,0.047396491542495645,33.00465334221613,32.910575431763334
DTLZ2,3,decision,0.017809173166430183,0.029822971883170055,25.862198389805542,25.888584228626726
DTLZ2,4,learning,0.18898375934856682,0.19827405891423328,,
DTLZ2,4,decision,0.25852569076546605,0.27593788710064765,,
DTLZ2,5,learning,1.2762377397924363,0.5330165704188503,,
DTLZ2,5,decision,0.24685470097101903,0.25861363946850213,,
DTLZ2,6,learning,0.542989854616461,0.34160041988177847,,
DTLZ2,6,decision,0.8623700336780541,0.22065330429095126,,
DTLZ2,7,learning,0.6647385341570788,0.5128423711881375,,
DTLZ2,7,decision,1.2793250402717284,1.0807291494508173,,
DTLZ2,8,learning,0.9506764219152083,0.5284794184086542,,
DTLZ2,8,decision,0.5137402731622792,0.2746707225537445,,
DTLZ2,9,learning,0.48286412658263006,0.5012956778733324,,
DTLZ2,9,decision,0.4500508674815882,0.468962998701139,,
DTLZ3,3,learning,0.09114570046961892,0.09232316233857855,33.28748990034269,33.429667674405465
DTLZ3,3,decision,0.03847101027156392,0.018723874778396016,24.072465600962563,24.094585653621984
DTLZ3,4,learning,0.1644977057936754,0.23299243167201303,,
DTLZ3,4,decision,0.09422302252950723,0.049817287139145544,,
DTLZ3,5,learning,0.17496237102218234,0.11794421196053126,,
DTLZ3,5,decision,0.09638200545656705,0.08149230993898543,,
DTLZ3,6,learning,0.9519883505246814,0.31309970599009596,,
DTLZ3,6,decision,0.44437206847897787,0.4960293105614315,,
DTLZ3,7,learning,0.22624371529261664,0.9438297589865758,,
DTLZ3,7,decision,0.3043369749749206,0.6050221157364679,,
DTLZ3,8,learning,0.3135014627109318,1.1853194112415413,,
DTLZ3,8,decision,0.14730399979398806,1.3798487719035153,,
DTLZ3,9,learning,0.46904225809650424,0.8132438644556754,,
DTLZ3,9,decision,0.14782277687333456,1.5064129405372895,,
DTLZ4,3,learning,0.12033775546801458,0.08814165281313394,32.27869084528014,32.49182389620894
DTLZ4,3,decision,0.15375617186010368,0.08794147275882777,26.013550107868156,26.722912623483943
DTLZ4,4,learning,0.5032866919146274,0.38980586493706987,,
DTLZ4,4,decision,0.11098352546676879,0.11713246477711306,,
DTLZ4,5,learning,0.6153951179509283,0.6816002916479033,,
DTLZ4,5,decision,1.1334661149799947,1.1777993162523932,,
DTLZ4,6,learning,1.201433310827709,1.3861734636347605,,
DTLZ4,6,decision,1.2364448495577136,1.2436160311114899,,
DTLZ4,7,learning,3.4955236996215744,0.7745450987988092,,
DTLZ4,7,decision,0.46998688261962,0.27578260338871186,,
DTLZ4,8,learning,0.34034483090434986,0.3111676143819174,,
DTLZ4,8,decision,0.3462446425475191,0.2744135426732828,,
DTLZ4,9,learning,0.5610830020850113,0.5648284756345531,,
DTLZ4,9,decision,0.4748332087652975,0.27516952389261123,,
DTLZ1,3,learning,2.359730645198535,2.3566690344820853,32.74549850488846,33.27029915935523
DTLZ1,3,decision,1.7025891412300427,1.6637708070429045,23.742432051428988,24.057192367889133
DTLZ1,4,learning,2.4738806520004566,2.472404714579606,,
DTLZ1,4,decision,1.9325448189636898,1.9406092685855862,,
DTLZ1,5,learning,2.4466608484582197,2.504699923665239,,
DTLZ1,5,decision,1.7611354152297665,1.7370633270862907,,
DTLZ1,6,learning,2.5189170977418156,2.4977416287439196,,
DTLZ1,6,decision,2.4890435088970446,2.5426125335602388,,
DTLZ1,7,learning,2.6094676771002416,2.499535917306744,,
DTLZ1,7,decision,1.861258202097972,1.8942714437681647,,
DTLZ1,8,learning,2.8694841213006104,3.029939045931782,,
DTLZ1,8,decision,1.7224713092098816,1.7200524351046438,,
DTLZ1,9,learning,2.944703833250318,3.159478920415528,,
DTLZ1,9,decision,2.5612493101146474,2.6534426680807917,,
DTLZ2,3,learning,0.3145488048025104,0.03138891659626071,30.390016737163737,32.95478321646267
DTLZ2,3,decision,0.7054153426701926,0.08181891423756617,20.72466256821769,25.930712685496637
DTLZ2,4,learning,1.0382980866929683,0.06386874478068104,,
DTLZ2,4,decision,2.058911423169368,0.11268691376528087,,
DTLZ2,5,learning,0.2709850236636031,0.2960265070865719,,
DTLZ2,5,decision,1.1197429243652417,0.08618819843152319,,
DTLZ2,6,learning,1.7981553001280712,0.5791570460930509,,
DTLZ2,6,decision,0.4436360495939181,0.44278315072090846,,
DTLZ2,7,learning,0.37508614610181407,0.4225756715311725,,
DTLZ2,7,decision,1.3272347501637054,0.12986501349650337,,
DTLZ2,8,learning,0.6101414721196798,0.49068941394327276,,
DTLZ2,8,decision,0.33613918173259394,0.2973958714303038,,
DTLZ2,9,learning,0.5546882408889398,0.28189392993122264,,
DTLZ2,9,decision,0.9948634802309673,0.21888195055977894,,
DTLZ3,3,learning,0.13614637728988851,0.1188844243894733,33.37028139986863,33.64468521050874
DTLZ3,3,decision,0.26339776888320526,0.2061516957293168,24.110263020083863,24.714212228785343
DTLZ3,4,learning,0.13585097727476203,0.2711938227013147,,
DTLZ3,4,decision,0.10405799528118032,0.11961534391196446,,
DTLZ3,5,learning,0.33495104126716385,0.304530560667355,,
DTLZ3,5,decision,0.2568545429999014,0.24610812626087458,,
DTLZ3,6,learning,1.0960230587152175,0.5042689270474521,,
DTLZ3,6,decision,0.27702058384701533,0.6732761208418226,,
DTLZ3,7,learning,0.54226169011261,0.27223894170027924,,
DTLZ3,7,decision,0.33221589637975224,0.29991362824417506,,
DTLZ3,8,learning,0.5029364593015134,0.2890674352105627,,
DTLZ3,8,decision,0.43761426246104584,0.5111534097865388,,
DTLZ3,9,learning,0.5665171859480527,0.6397859286527765,,
DTLZ3,9,decision,0.4470067696766524,0.3811962189230154,,
DTLZ4,3,learning,0.10665967872046,0.06818953102500264,32.906366531799776,33.072373150238114
DTLZ4,3,decision,0.017729625608363477,0.030067066995562913,25.861004983740056,25.91055825955688
DTLZ4,4,learning,0.4780057543826959,0.3558437711183961,,
DTLZ4,4,decision,0.9328367382836569,0.9935500848997052,,
DTLZ4,5,learning,0.7138960438490223,0.678842220080623,,
DTLZ4,5,decision,0.946183925555993,0.9974180728575145,,
DTLZ4,6,learning,0.7185003270775574,0.7498971856177858,,
DTLZ4,6,decision,1.1110314746942698,0.9844705457740566,,
DTLZ4,7,learning,0.6508824000990718,0.5182797214207847,,
DTLZ4,7,decision,1.1132592282641993,1.1366730032838859,,
DTLZ4,8,learning,8.56140390025975,0.8733828099978709,,
DTLZ4,8,decision,5.138085729872539,1.1565273590883345,,
DTLZ4,9,learning,0.48475638456285114,0.3540016758835049,,
DTLZ4,9,decision,0.5029451731475703,0.26709508691781436,,
DTLZ1,3,learning,2.3379312154992618,2.340305763328884,33.39422848992819,33.78001321450375
DTLZ1,3,decision,1.6590525722740423,1.65930452292952,24.071274617851508,24.093818409193688
DTLZ1,4,learning,2.3477941583933912,2.359046640577783,,
DTLZ1,4,decision,1.6808089192221005,1.678589515172983,,
DTLZ1,5,learning,2.4114690158465373,2.4844009342308713,,
DTLZ1,5,decision,1.7017941024346424,1.690744716295673,,
DTLZ1,6,learning,2.803236297082102,2.7737609762049993,,
DTLZ1,6,decision,1.9374804618710533,2.401539515193892,,
DTLZ1,7,learning,2.3289817677576194,2.292241638884051,,
DTLZ1,7,decision,1.8469554109010138,1.8838263400840802,,
DTLZ1,8,learning,2.6932573649370144,2.4788165148448993,,
DTLZ1,8,decision,1.730918996047083,1.7266793634757232,,
DTLZ1,9,learning,2.3632828857750425,2.3020034614880363,,
