problem,num_obj,phase,iRVEA_R_IGD_mean,iRVEA_R_IGD_std,iNSGAIII_R_IGD_mean,iNSGAIII_R_IGD_std,iRVEA_R_HV_mean,iRVEA_R_HV_std,iNSGAIII_R_HV_mean,iNSGAIII_R_HV_std
DTLZ3,3,decision,0.1318704471103828,0.17752329292195457,0.07024934083140062,0.05388618219819629,25.02685574274828,1.4861755450095442,25.524686393271356,0.836659061812668
DTLZ3,4,learning,0.4468822238705722,0.3092208700952378,0.5661533978419442,0.23093775627774454,,,,
DTLZ3,4,decision,0.14192948042791617,0.09694142704464681,0.09195573867697951,0.058248178453718144,,,,
DTLZ3,5,learning,0.6937194637368986,0.6064454651169496,0.8807024926176586,0.41706425871838676,,,,
DTLZ3,5,decision,0.2368308254204644,0.18652978044444352,0.14524741058399243,0.03739888709155648,,,,
DTLZ3,6,learning,0.579274393898125,0.35548266117457844,0.8045691339702175,0.39949080231720063,,,,
DTLZ3,6,decision,0.271667619099338,0.09916469339737381,0.46702359108483643,0.4009761025029999,,,,
DTLZ3,7,learning,0.8906650642088746,0.5138293026155658,0.8264972157542616,0.29525889311532194,,,,
DTLZ3,7,decision,0.34343562615781725,0.1387741131313854,0.7501202319852173,0.5045950414994547,,,,
DTLZ3,8,learning,0.7450859936362716,0.3793414440658043,0.9425563905939323,0.41957497034866287,,,,
DTLZ3,8,decision,0.3917893761890443,0.11099225423402684,0.7743552038961131,0.4814232424502007,,,,
DTLZ3,9,learning,0.7033796099925388,0.33436431125325455,1.0177962622496175,0.36958618896252293,,,,
DTLZ3,9,decision,0.37530394620092794,0.21978950314989595,0.9866301317371612,0.7215348581828779,,,,
DTLZ4,3,learning,0.2537241176779105,0.6549580270588017,0.07693073839434474,0.03563719246588525,32.78922907521875,3.532248696414273,33.81817450792461,0.6274263107350844
DTLZ4,3,decision,0.18781841082874942,0.47652602958801055,0.07365939725251447,0.05296022911499227,25.116496045623883,3.1560631402597714,25.921422594709632,0.6727132717026222
DTLZ4,4,learning,0.35953374829216656,0.4434002389177175,0.2190930628630816,0.19191923575249836,,,,
DTLZ4,4,decision,0.36769065901995934,0.39054833782478976,0.3432783912997833,0.3952886235517001,,,,
DTLZ4,5,learning,0.4790289004097499,0.37279934645553214,0.3921970334880654,0.2452440475648247,,,,
DTLZ4,5,decision,0.5315638356103247,0.42358858722472614,0.5225476287433978,0.4391941424878912,,,,
DTLZ4,6,learning,0.7830084772570189,0.694344278340456,0.6093712936004464,0.2918775111089479,,,,
DTLZ4,6,decision,0.6114275603446631,0.36258823303385784,0.5994676282258635,0.38601459770459456,,,,
DTLZ4,7,learning,3.007058719312549,2.1877846961512524,0.728621027302961,0.36953570560684634,,,,
DTLZ4,7,decision,1.1848316958693408,0.674101944038336,0.6694416593824515,0.44806354819887195,,,,
DTLZ4,8,learning,1.3136398575974937,1.046729795583379,0.738209926486359,0.22380835757960385,,,,
DTLZ4,8,decision,0.9710858982056907,0.49536806678268797,0.7620420771118152,0.41129035197661334,,,,
DTLZ4,9,learning,0.8245596943104357,0.3109038978402767,0.7602852311901094,0.28269434372233476,,,,
DTLZ4,9,decision,0.8256964539419752,0.4475913701129599,0.6897752932080407,0.4196509544587688,,,,
