problem,num_obj,phase,iRVEA_R_IGD,iNSGAIII_R_IGD,iRVEA_R_HV,iNSGAIII_R_HV
DTLZ4,9,decision,1.1959506135643951,0.996943956839111,,
DTLZ1,3,learning,2.7866455986000367,2.5461955810754535,32.118180449685184,34.175487539465934
DTLZ1,3,decision,1.658911921292308,1.6589840599860213,24.073362898358923,24.09260972173879
DTLZ1,4,learning,2.5232886325939337,2.546049486500457,,
DTLZ1,4,decision,1.8345062558791976,1.7626303800845513,,
DTLZ1,5,learning,3.872049664729245,2.5707304228665406,,
DTLZ1,5,decision,1.8526701965533294,2.2498585363388504,,
DTLZ1,6,learning,3.822407432451415,2.8517270803465298,,
DTLZ1,6,decision,1.7849550223806459,1.8679447233341262,,
DTLZ1,7,learning,3.211457532432152,2.9705476736231864,,
DTLZ1,7,decision,2.4149941501424337,2.2440529491911896,,
DTLZ1,8,learning,3.1530487695695824,3.3279131047495163,,
DTLZ1,8,decision,1.7255728888258748,1.7268512633209951,,
DTLZ1,9,learning,3.217923581636995,2.3952636947262516,,
DTLZ1,9,decision,1.8899813240088936,1.9073199584486058,,
DTLZ2,3,learning,0.0995303172191517,0.08832195981571003,32.52336513835874,32.487251663120496
DTLZ2,3,decision,1.7997544967181818,0.119126387046942,13.888888888888886,26.47230144957237
DTLZ2,4,learning,0.2647278783084536,0.19914844375422588,,
DTLZ2,4,decision,0.2591654696247821,0.271352102804177,,
DTLZ2,5,learning,0.4516059559333033,0.4913214277616304,,
DTLZ2,5,decision,1.0452268701998617,0.9879728797836744,,
DTLZ2,6,learning,0.6569627734026855,0.28895343160640863,,
DTLZ2,6,decision,0.4168351490205807,0.4360093377188464,,
DTLZ2,7,learning,1.0535276581585797,0.2976585093878491,,
DTLZ2,7,decision,0.4884973216191357,0.29376260039859375,,
DTLZ2,8,learning,0.32871026646136514,0.33628698837434845,,
DTLZ2,8,decision,0.1437464386962583,0.12197676934009288,,
DTLZ2,9,learning,0.8378728667869131,0.6219942167077772,,
DTLZ2,9,decision,0.37139393029255374,0.2695614086906592,,
DTLZ3,3,learning,0.14294977836669076,0.1323252978496828,34.31998344600221,34.01262197285586
DTLZ3,3,decision,0.032957077144242286,0.07471709234803822,24.082573210139508,24.04995558708743
DTLZ3,4,learning,0.3083093727901265,0.9116890582768268,,
DTLZ3,4,decision,0.05106969249705139,0.06657265079034072,,
DTLZ3,5,learning,2.344744697109731,1.2293015999933683,,
DTLZ3,5,decision,0.14126307882351477,0.1244941016542746,,
DTLZ3,6,learning,0.4214207418872565,0.43950935477576414,,
DTLZ3,6,decision,0.4278085822088804,0.362299138158704,,
DTLZ3,7,learning,0.4651218771003247,0.8867536591112616,,
DTLZ3,7,decision,0.13651968716562077,1.3171588064707513,,
DTLZ3,8,learning,0.46142384486475235,1.439241303427395,,
DTLZ3,8,decision,0.3450466848555631,0.9527484389177162,,
DTLZ3,9,learning,0.4368578391472862,1.2635473104838262,,
DTLZ3,9,decision,0.1536456344335475,1.2188466374260958,,
DTLZ4,3,learning,0.09927364616688289,0.08702555377674794,33.72058362838087,33.7529636950494
DTLZ4,3,decision,0.12570684029692042,0.08881799171322541,26.35088439445167,26.544851661712816
DTLZ4,4,learning,0.5322777388541123,0.32952952985616013,,
DTLZ4,4,decision,1.0621225225506628,1.0592065485827151,,
DTLZ4,5,learning,0.5057658361027073,0.4516069674482146,,
DTLZ4,5,decision,0.927511593003467,0.9873337073453962,,
DTLZ4,6,learning,0.6216615963773164,0.5068728718678135,,
DTLZ4,6,decision,0.27339503634389245,0.24487640818054135,,
DTLZ4,7,learning,0.7072015151031524,0.7207265682299447,,
DTLZ4,7,decision,1.0979588523627573,1.1481998255504602,,
DTLZ4,8,learning,1.0329650710202567,0.8490511532819961,,
DTLZ4,8,decision,0.5030451151642136,0.35968909504439445,,
DTLZ4,9,learning,1.0922023700306065,1.0078441417907809,,
DTLZ4,9,decision,1.1112932837477671,1.1064336156264483,,
DTLZ1,3,learning,3.286915435240637,2.2856261338074213,26.27657196577561,32.90615037514407
DTLZ1,3,decision,1.6588696833071017,1.6590862243344873,24.074354497269134,24.093859762570986
DTLZ1,4,learning,3.151270607843796,2.9824903087569896,,
DTLZ1,4,decision,2.343963362722513,2.4032235310455983,,
DTLZ1,5,learning,2.770861954622764,2.7304696121407543,,
DTLZ1,5,decision,1.8156680413152166,1.845791663205508,,
DTLZ1,6,learning,2.5061093856151957,2.4713468246594927,,
DTLZ1,6,decision,2.038804345619355,2.8847160602706703,,
DTLZ1,7,learning,2.994644542482609,2.5702336347702386,,
DTLZ1,7,decision,1.9748380045224825,1.713910169080105,,
DTLZ1,8,learning,3.329153454555031,2.8286784176640687,,
DTLZ1,8,decision,2.0679231429894944,1.9024602263682155,,
DTLZ1,9,learning,3.186589606311558,3.3662624746694787,,
DTLZ1,9,decision,2.7507972204006017,4.176890074433988,,
DTLZ2,3,learning,0.1402117494208573,0.09540435973212122,32.775939069141245,33.19132696062896
DTLZ2,3,decision,0.8637686908483861,0.030491412836730118,18.447326337280728,25.894013994015314
DTLZ2,4,learning,1.2646247604748861,0.1509840709261191,,
DTLZ2,4,decision,2.8508132901589245,1.0572810663607546,,
DTLZ2,5,learning,0.3925374723151048,0.3879590413562281,,
DTLZ2,5,decision,0.9260387223792543,0.9779290893400263,,
DTLZ2,6,learning,0.5405204493911895,0.2743582785680389,,
DTLZ2,6,decision,0.2697508129616962,0.26570871330051593,,
DTLZ2,7,learning,0.39882585412000193,0.2401880435693536,,
DTLZ2,7,decision,0.46493991282059455,0.3395118151647242,,
DTLZ2,8,learning,0.5545011167202721,0.49933154881657477,,
DTLZ2,8,decision,0.4883770044655588,0.3392252012305367,,
DTLZ2,9,learning,1.5760534877804757,0.353326121692088,,
DTLZ2,9,decision,3.039591460778188,0.34549263825941134,,
DTLZ3,3,learning,0.06838676023747846,0.15172213983579222,34.510682703968754,33.260066806255345
DTLZ3,3,decision,0.052201423194804995,0.026322129429394023,25.759006958243177,25.908202707304113
DTLZ3,4,learning,0.24965780790467973,0.7582358272791345,,
DTLZ3,4,decision,0.08545890140133842,0.0696635382448366,,
DTLZ3,5,learning,0.27574176986010845,0.8605006199629728,,
DTLZ3,5,decision,0.140904242301225,0.15833442271845205,,
DTLZ3,6,learning,0.3917171747549324,0.687165463906893,,
DTLZ3,6,decision,0.23520620619104182,0.10597491900298993,,
DTLZ3,7,learning,0.4270841248687451,0.8650609073666309,,
DTLZ3,7,decision,0.6272920973037922,1.9991473403135145,,
DTLZ3,8,learning,0.5502524311876541,0.7022094701024235,,
DTLZ3,8,decision,0.3731777475060464,0.9527484389177163,,
DTLZ3,9,learning,1.0033101759499814,0.6201405516038028,,
DTLZ3,9,decision,0.5113783048763985,0.2410903048525896,,
DTLZ4,3,learning,0.08903240450531326,0.042223813328720966,33.74160354179217,33.98766505885449
DTLZ4,3,decision,0.0898236801039636,0.12543879198058375,26.695245129081535,26.4816850899983
DTLZ4,4,learning,0.15478045374496807,0.11761854238347316,,
DTLZ4,4,decision,0.18991052359751076,0.15427519310084642,,
DTLZ4,5,learning,0.47921219879521065,0.4774324123348486,,
DTLZ4,5,decision,0.05688590988225296,0.07243755819735942,,
DTLZ4,6,learning,0.6132257908061457,0.49885268728886045,,
DTLZ4,6,decision,0.24318328627832894,0.24356649275027864,,
DTLZ4,7,learning,6.673160630874576,0.6285994010111365,,
DTLZ4,7,decision,1.5845165235767753,1.2532001693945536,,
DTLZ4,8,learning,0.5673453905764195,0.612563876664288,,
DTLZ4,8,decision,0.14227057549945654,0.24685531824195833,,
DTLZ4,9,learning,0.897951236097888,0.9285276724913138,,
DTLZ4,9,decision,1.3528494199909227,1.266669736843594,,
DTLZ1,3,learning,2.3801737394819065,2.4496703201466774,35.02254423903167,34.223473982228406
DTLZ1,3,decision,2.315167693582131,1.659555456520526,18.9127242293103,24.083351620037632
DTLZ1,4,learning,2.8630110413787273,2.80570844385436,,
DTLZ1,4,decision,1.737252252769784,1.7787302564640164,,
DTLZ1,5,learning,2.9223025610495172,2.670204842096462,,
DTLZ1,5,decision,1.9041606808409106,1.8478337336476427,,
DTLZ1,6,learning,3.271696480176289,2.7829277128380054,,
DTLZ1,6,decision,1.7997777962905113,1.8744379878315416,,
DTLZ1,7,learning,3.5023221794560646,2.6978703383688654,,
DTLZ1,7,decision,2.5150339677533218,2.263761090224188,,
DTLZ1,8,learning,3.3118351501981538,2.646359442595789,,
DTLZ1,8,decision,2.0417669740735285,2.2179653859910116,,
DTLZ1,9,learning,2.7759536919780152,2.5211888843122967,,
DTLZ1,9,decision,1.865684816516275,1.9088165406447417,,
DTLZ2,3,learning,0.5937380311176251,0.03300579882129032,28.458988588620908,33.92995804299975
DTLZ2,3,decision,0.8637686908483861,0.04592264187557305,18.447326337280728,25.775174376456388
DTLZ2,4,learning,0.2498115978950588,0.250931838442865,,
DTLZ2,4,decision,0.11297155725967571,0.10555396620984689,,
DTLZ2,5,learning,0.12545657404044394,0.11997949770543628,,
DTLZ2,5,decision,0.11614976653613515,0.11453587498468751,,
DTLZ2,6,learning,0.8007510094442176,0.3519123228042368,,
DTLZ2,6,decision,0.4186124550672372,0.4422393985994085,,
DTLZ2,7,learning,0.6790193366124802,1.0799972392656434,,
DTLZ2,7,decision,2.0344291102953997,1.4131330292516635,,
DTLZ2,8,learning,0.46392699020685135,0.36461814124782926,,
DTLZ2,8,decision,0.46553777312816125,0.3993156179960562,,
DTLZ2,9,learning,0.7665042843248183,0.7023551238700116,,
DTLZ2,9,decision,1.1504083626761132,1.0676555442696143,,
DTLZ3,3,learning,2.207729928482503,0.24201124195393042,20.450583331360605,31.739418733354725
DTLZ3,3,decision,0.04482118087886297,0.20420548108120345,27.026524957187384,25.601819940879096
DTLZ3,4,learning,1.0051239320977987,0.5666586304874012,,
DTLZ3,4,decision,0.08822841170747149,0.11798028777818054,,
DTLZ3,5,learning,0.8363540735556138,0.6960681151238408,,
DTLZ3,5,decision,0.1364487297228218,0.1164202766437077,,
DTLZ3,6,learning,0.5762846249177285,1.5663863429176077,,
DTLZ3,6,decision,0.29271884096785206,0.20746750479426934,,
DTLZ3,7,learning,1.6586906838955977,0.4037376457494671,,
DTLZ3,7,decision,0.468916302785499,0.27641455012557764,,
DTLZ3,8,learning,0.7021096120529047,0.4645244156043993,,
DTLZ3,8,decision,0.45417837030706887,0.3320471801624894,,
DTLZ3,9,learning,0.563640726277384,1.2560515945162276,,
DTLZ3,9,decision,0.46276685661807765,0.2988529922539078,,
DTLZ4,3,learning,0.10011691648410326,0.09314556685960053,33.96417368722424,33.946982736911394
DTLZ4,3,decision,0.01761346880731674,0.03030715718545536,25.860980265850245,25.909808830784836
DTLZ4,4,learning,0.16417986129996787,0.1599065054020506,,
DTLZ4,4,decision,0.10239003281373599,0.09433627826061491,,
DTLZ4,5,learning,0.6817164227613307,0.7104503300407227,,
DTLZ4,5,decision,0.9686565786420939,0.9575087114342627,,
DTLZ4,6,learning,1.300623664042248,1.3813473565727448,,
DTLZ4,6,decision,1.030598709334468,0.9860260048051234,,
DTLZ4,7,learning,5.87461604266416,0.5980715061270905,,
DTLZ4,7,decision,1.7867451443886073,0.3384667416898119,,
DTLZ4,8,learning,3.783932084007151,0.8698583671584545,,
DTLZ4,8,decision,1.151061309580124,1.0345355124505002,,
DTLZ4,9,learning,0.7161361253790836,0.7641766792100603,,
DTLZ4,9,decision,0.3247940566624149,0.3661792728230757,,
DTLZ1,3,learning,2.252530628791534,2.22652648599813,32.7565972921238,33.187540034525256
DTLZ1,3,decision,1.700239467643065,1.700920298217409,24.6648018005276,24.728459501232763
DTLZ1,4,learning,2.5495058061022187,2.576043804181426,,
DTLZ1,4,decision,1.6802095437906421,1.6787713546254746,,
DTLZ1,5,learning,3.965376634570549,2.9445497702255,,
DTLZ1,5,decision,1.8604867095589075,2.2371319787777266,,
DTLZ1,6,learning,3.641661187733398,2.6524460983146994,,
DTLZ1,6,decision,1.7031261956344557,1.714588600205324,,
DTLZ1,7,learning,3.331386030692353,3.064732240079207,,
DTLZ1,7,decision,2.349467446758657,2.3077178672608016,,
DTLZ1,8,learning,3.3129100981064976,2.860186285978586,,
DTLZ1,8,decision,2.79211233533006,2.3425293832407794,,
DTLZ1,9,learning,2.7547454945602086,3.0735774912392095,,
DTLZ1,9,decision,2.034755524395378,2.464481346424003,,
DTLZ2,3,learning,0.11183039952361679,0.12068099819851494,33.314562790444974,33.15714045062653
DTLZ2,3,decision,0.09723255084999474,0.08328465072437193,25.791748413442754,25.991781893630733
DTLZ2,4,learning,0.6117430099682551,0.18766212232668975,,
DTLZ2,4,decision,0.7613373510551236,0.17050926574883374,,
DTLZ2,5,learning,0.2210108593077596,0.2096600072873666,,
DTLZ2,5,decision,0.23905343756049624,0.24544467056157063,,
DTLZ2,6,learning,0.32157194186580784,0.2775513860242841,,
DTLZ2,6,decision,0.23989053824382434,0.22042081114657497,,
DTLZ2,7,learning,0.43946496022527104,0.4195298817231672,,
